id	page	source	title	original_title	url	normalized_url	domain	category	tags	score	tier	is_free	status	http_status	final_url	notes
fe51cca04251	9	annotation	陪读蛙 - 翻译器_开源、免费的沉浸式网页翻译&语言学习插件	陪读蛙 - 翻译器_开源、免费的沉浸式网页翻译&语言学习插件	https://www.readfrog.app/zh	https://www.readfrog.app/zh	readfrog.app	学习资料	开源	96	free	True	ok	200	https://www.readfrog.app/zh	
5bbf7575094f	9	annotation	AdBlock最牛的浏览器广告拦截插件之一，上亿次下载！电脑浏览器广告屏蔽插件，完全免费	AdBlock最牛的浏览器广告拦截插件之一，上亿次下载！电脑浏览器广告屏蔽插件，完全免费	https://adblockplus.org/	https://adblockplus.org/	adblockplus.org	软件工具		96	free	True	ok	200	https://adblockplus.org/	
b3cd2ec42ecc	9	annotation	Bilibili AI Skip：一款 Chrome 插件，利用 AI 技术自动跳过 B 站视频广告，支持字幕和音频分	Bilibili AI Skip：一款 Chrome 插件，利用 AI 技术自动跳过 B 站视频广告，支持字幕和音频分	https://oooo.uno/	https://oooo.uno/	oooo.uno	AI工具	AI	96	free	True	ok	200	https://oooo.uno/	
de19438b0b4d	9	annotation	Alibaba Lens：一款Chrome 浏览器插件，通过一张截图即可在 Alibaba实时搜寻同款低价货源，	Alibaba Lens：一款Chrome 浏览器插件，通过一张截图即可在 Alibaba实时搜寻同款低价货源，	https://sale.alibaba.com/p/lens	https://sale.alibaba.com/p/lens	sale.alibaba.com	软件工具		96	free	True	ok	200	https://sale.alibaba.com/p/lens	
bdcdd4025ea8	9	annotation	搜款助手-图片搜同款货源工具	搜款助手-图片搜同款货源工具	https://spiritfoxlab.ababtools.com/soukuanzhushou	https://spiritfoxlab.ababtools.com/soukuanzhushou	spiritfoxlab.ababtools.com	软件工具	设计	96	free	True	ok	200	https://spiritfoxlab.ababtools.com/soukuanzhushou	
6f2e3aae5ef8	9	annotation	快测宝：一款API接口测试浏览器插件，支持批量请求与URL参数编辑，智能解析参数、实时	快测宝：一款API接口测试浏览器插件，支持批量请求与URL参数编辑，智能解析参数、实时	https://chrome.xs25.cn/	https://chrome.xs25.cn/	chrome.xs25.cn	软件工具		96	free	True	ok	200	https://chrome.xs25.cn/	
d2ccba9f106d	9	annotation	思思软件库	思思软件库	https://rj44.cc/#/	https://rj44.cc/#/	rj44.cc	软件工具		88	free	True	ok	200	https://rj44.cc/#/	
9accb3b463d4	9	annotation	GodSVG：免费开源SVG 矢量图形编辑工具，支持桌面端和安卓，还支持在线编辑	GodSVG：免费开源SVG 矢量图形编辑工具，支持桌面端和安卓，还支持在线编辑	https://www.godsvg.com/	https://www.godsvg.com/	godsvg.com	软件工具	开源	96	free	True	ok	200	https://www.godsvg.com/	
9372e1f7fddf	9	annotation	Blender - 超强且专业！免费开源的建模 / 动画 / 特效 / 游戏一站式 3D 建模软件	Blender - 超强且专业！免费开源的建模 / 动画 / 特效 / 游戏一站式 3D 建模软件	https://www.blender.org/	https://www.blender.org/	blender.org	软件工具	开源	96	free	True	ok	200	https://www.blender.org/	
86eba8dca6a7	9	annotation	PDF隐私涂黑工具_纯本地运行，断网可用，彻底移除敏感信息，免费开源	PDF隐私涂黑工具_纯本地运行，断网可用，彻底移除敏感信息，免费开源	https://secureredact.tech/zh	https://secureredact.tech/zh	secureredact.tech	软件工具	开源	94	free	True	ok	200	https://secureredact.tech/zh/	redirect
